923.581,0.318674
926.593,0.322329
929.591,0.199848
932.587,0.0559117
935.579,0.00507026
938.589,-0.009312
941.586,-0.00943163
944.58,-0.00750775
947.59,-0.00250952
950.589,0.0155897
953.585,0.0553927
956.597,0.111988
959.593,0.162616
962.589,0.176619
965.585,0.160792
968.582,0.131918
971.594,0.116178
974.59,0.100096
977.588,0.0995738
980.584,0.0958428
983.58,0.0871387
986.593,0.0799015
989.589,0.0684847
992.583,0.0530792
995.58,0.049247
998.58,0.0512213
1001.592,0.057469
1004.59,0.0759513
1007.584,0.0812981
1010.582,0.0802691
1013.592,0.073433
1016.588,0.0737587
1019.585,0.0766177
